,Adj Close
1029,710.469971
1030,714.869995
1031,685.200012
1032,681.1400150000001
1033,691.26001
1034,695.1900019999999
1035,703.530029
1036,710.25
1037,704.8900150000001
1038,708.969971
1039,707.26001
1040,717.780029
1041,727.200012
1042,732.51001
1043,729.47998
1044,735.799988
1045,735.630005
1046,753.200012
1047,753.409973
1048,757.080017
1049,754.409973
1050,759.280029
1051,757.52002
1052,757.650024
1053,761.969971
1054,765.840027
1055,791.340027
1056,800.9400019999999
1057,800.119995
1058,798.919983
1059,797.25
1060,806.929993
1061,805.22998
1062,807.47998
1063,808.48999
1064,808.200012
1065,807.049988
1066,805.960022
1067,801.1900019999999
1068,805.419983
1069,802.75
1070,799.650024
1071,796.950012
1072,796.590027
1073,793.599976
1074,791.299988
1075,793.219971
1076,795.820007
1077,791.919983
1078,789.849976
1079,791.400024
1080,796.869995
1081,808.02002
1082,807.98999
1083,802.840027
1084,788.47998
1085,798.820007
1086,788.719971
1087,790.460022
1088,801.22998
1089,797.969971
1090,795.3900150000001
1091,799.780029
1092,805.030029
1093,815.950012
1094,814.960022
1095,802.650024
1096,810.72998
1097,810.0599980000001
1098,802.6400150000001
1099,804.0599980000001
1100,800.380005
1101,802.789978
1102,801.22998
1103,803.080017
1104,800.710022
1105,814.169983
1106,809.570007
1107,811.77002
1108,804.080017
1109,804.599976
1110,806.840027
1111,821.48999
1112,826.840027
1113,821.630005
1114,824.0599980000001
1115,835.73999
